,CSFA_Correlation_Absolute_Value
mean_MFCC_2nd_coef,0.3986953238363737
tqwt_minValue_dec_12,0.3957402096701897
tqwt_stdValue_dec_12,0.39302880603043483
tqwt_maxValue_dec_12,0.3912875991464585
tqwt_stdValue_dec_11,0.39108103735251654
tqwt_entropy_log_dec_12,0.38100274065080125
tqwt_maxValue_dec_11,0.37848478080148834
tqwt_minValue_dec_11,0.3665520200736649
tqwt_minValue_dec_13,0.3652644169527597
std_9th_delta_delta,0.3643329784187204
std_8th_delta_delta,0.3642562993989773
tqwt_maxValue_dec_13,0.3618003014169519
std_7th_delta_delta,0.35423906867548904
tqwt_stdValue_dec_13,0.35324869871379194
std_6th_delta_delta,0.34904581491412684
tqwt_entropy_shannon_dec_11,0.3478987971282313
tqwt_kurtosisValue_dec_27,0.34760438453107295
std_8th_delta,0.3428754568881087
tqwt_entropy_log_dec_11,0.3423267043111995
tqwt_TKEO_std_dec_12,0.34039461844295826
tqwt_TKEO_std_dec_11,0.33801291793379
tqwt_entropy_log_dec_13,0.3358688646355005
tqwt_kurtosisValue_dec_26,0.33543027008399257
std_10th_delta_delta,0.3354082288382902
std_9th_delta,0.33539553330358896
std_11th_delta_delta,0.3353579737113399
tqwt_entropy_shannon_dec_13,0.3310506556832079
tqwt_entropy_shannon_dec_16,0.3265724003903448
tqwt_entropy_shannon_dec_15,0.3260744181963017
tqwt_entropy_shannon_dec_12,0.32549068231531136
tqwt_stdValue_dec_15,0.32495690987574494
std_6th_delta,0.32312634031192455
tqwt_energy_dec_12,0.32265462809334255
std_7th_delta,0.3198246701674693
tqwt_stdValue_dec_14,0.31976673956027984
std_delta_delta_log_energy,0.3186872493981883
tqwt_maxValue_dec_14,0.3157538658772465
tqwt_minValue_dec_14,0.3145642668562981
std_10th_delta,0.3111600026884653
std_11th_delta,0.3110077619771461
tqwt_energy_dec_13,0.3108823124130104
tqwt_stdValue_dec_10,0.3107806921533239
tqwt_stdValue_dec_16,0.3098380844452009
tqwt_entropy_shannon_dec_14,0.3086235312638421
tqwt_entropy_log_dec_16,0.30704270111546833
EEG,0.306070371397854
tqwt_energy_dec_15,0.3058615392746434
std_12th_delta_delta,0.3045158395771248
tqwt_entropy_shannon_dec_17,0.30417014012503923
tqwt_entropy_log_dec_15,0.3000675798299284
tqwt_stdValue_dec_7,0.2998800180302564
f1,0.29836906368717436
tqwt_minValue_dec_10,0.2972563502206674
tqwt_energy_dec_14,0.2971039142232761
tqwt_maxValue_dec_10,0.29682491009759515
app_det_TKEO_mean_7_coef,0.2954318683162926
tqwt_entropy_log_dec_14,0.29537617027866947
app_TKEO_std_8_coef,0.2953199259994965
app_det_TKEO_mean_8_coef,0.2953009483489912
app_det_TKEO_mean_9_coef,0.29521379557461064
app_det_TKEO_mean_10_coef,0.2951137285223834
tqwt_TKEO_mean_dec_11,0.29485909048753767
app_TKEO_std_10_coef,0.29447411805157114
app_TKEO_std_9_coef,0.294020809108843
app_det_TKEO_mean_6_coef,0.2934466038555055
app_TKEO_std_7_coef,0.2932095589116682
app_entropy_shannon_10_coef,0.29244505069190296
app_entropy_shannon_9_coef,0.29240801351987444
app_entropy_shannon_8_coef,0.29238328125533575
app_entropy_shannon_7_coef,0.29224407878114045
app_entropy_shannon_6_coef,0.2922311455752379
app_entropy_shannon_5_coef,0.29183333478282564
app_entropy_shannon_4_coef,0.29106327389897574
app_entropy_shannon_3_coef,0.2899089624230032
app_det_TKEO_mean_5_coef,0.28957155885809477
tqwt_stdValue_dec_8,0.28927829175181524
app_entropy_shannon_2_coef,0.2888652519370376
app_TKEO_std_5_coef,0.28818853743997425
app_entropy_shannon_1_coef,0.2880560477108964
tqwt_entropy_shannon_dec_10,0.2872976331961715
app_TKEO_std_6_coef,0.2870868386010629
tqwt_stdValue_dec_9,0.2860568101312587
tqwt_TKEO_std_dec_14,0.28542084647707266
app_det_TKEO_mean_4_coef,0.28487957234786576
numPulses,0.28405588727234515
numPeriodsPulses,0.28400220956360456
app_TKEO_std_4_coef,0.28365108947243883
tqwt_entropy_log_dec_8,0.28282678766731945
tqwt_TKEO_mean_dec_15,0.28157531082119147
tqwt_entropy_log_dec_10,0.2814804076887419
tqwt_entropy_log_dec_35,0.2807705197731722
std_12th_delta,0.2799307082972167
tqwt_kurtosisValue_dec_36,0.27982669600913734
tqwt_TKEO_std_dec_13,0.27884121446978233
tqwt_entropy_log_dec_34,0.2786252024870252
VFER_entropy,0.278311928004397
tqwt_entropy_log_dec_26,0.2781715560829091
tqwt_TKEO_std_dec_15,0.2773677418189694
std_4th_delta_delta,0.27731291946173997
tqwt_entropy_log_dec_9,0.27712098847620503
tqwt_entropy_log_dec_7,0.27686530758533173
tqwt_energy_dec_11,0.2763560896144536
tqwt_entropy_log_dec_17,0.2762395987386456
minIntensity,0.2752157595567619
tqwt_TKEO_mean_dec_16,0.2749939981524285
app_det_TKEO_mean_3_coef,0.27273147660603114
std_4th_delta,0.2724794815045092
app_LT_TKEO_std_7_coef,0.2712392238974795
tqwt_minValue_dec_15,0.2710551217601509
tqwt_maxValue_dec_15,0.2705560489995196
tqwt_energy_dec_16,0.2701225785227115
tqwt_kurtosisValue_dec_28,0.26989174263897153
tqwt_entropy_log_dec_27,0.2695787937904974
app_LT_TKEO_mean_7_coef,0.2685729631574482
app_LT_TKEO_std_8_coef,0.2682519735833392
app_LT_TKEO_mean_8_coef,0.2674155892043119
app_LT_TKEO_mean_9_coef,0.2674115991861483
app_LT_TKEO_mean_10_coef,0.2669748122527606
app_LT_TKEO_std_10_coef,0.26685611001159304
app_LT_TKEO_mean_6_coef,0.26667735438716056
app_LT_TKEO_std_9_coef,0.266143127716385
VFER_mean,0.2656855805500263
app_LT_TKEO_std_5_coef,0.2655362925893532
app_LT_TKEO_mean_5_coef,0.26522977901539746
std_5th_delta_delta,0.2635892010184929
tqwt_entropy_shannon_dec_9,0.26343325089883085
app_TKEO_std_3_coef,0.2634150129934398
app_LT_TKEO_std_4_coef,0.2632726861973047
app_LT_TKEO_std_6_coef,0.26294707990871485
app_LT_entropy_shannon_6_coef,0.26215935188680733
app_LT_entropy_shannon_8_coef,0.26204601135525446
app_LT_entropy_shannon_9_coef,0.26195627913014097
app_LT_entropy_shannon_10_coef,0.26189706736867097
app_LT_entropy_shannon_5_coef,0.26174755958852947
std_delta_log_energy,0.2610468772319408
tqwt_TKEO_std_dec_10,0.26091918174540907
app_LT_entropy_shannon_7_coef,0.2609052183943242
app_LT_TKEO_std_3_coef,0.2606403947337873
app_LT_entropy_shannon_4_coef,0.26046376084657713
app_entropy_log_9_coef,0.25979083541932996
