Feature,ILFS_Score
tqwt_entropy_shannon_dec_16,(17.937848238049035+0j)
tqwt_kurtosisValue_dec_35,(16.070969759730207+0j)
tqwt_kurtosisValue_dec_34,(15.966557989831397+0j)
tqwt_entropy_log_dec_27,(14.906495250208287+0j)
tqwt_entropy_shannon_dec_15,(14.794229570590053+0j)
EEG,(14.782894450349328+0j)
tqwt_kurtosisValue_dec_36,(14.546422377739358+0j)
tqwt_entropy_log_dec_26,(14.40813358132721+0j)
std_8th_delta_delta,(14.33759319335961+0j)
tqwt_entropy_shannon_dec_22,(14.064422039177956+0j)
tqwt_entropy_shannon_dec_17,(13.638785564526028+0j)
tqwt_minValue_dec_15,(13.625986373131123+0j)
std_9th_delta_delta,(13.577361100406792+0j)
tqwt_kurtosisValue_dec_33,(13.554143408448681+0j)
tqwt_entropy_log_dec_28,(13.425329784856965+0j)
std_10th_delta_delta,(13.372918120495289+0j)
mean_MFCC_2nd_coef,(13.197087137990863+0j)
tqwt_stdValue_dec_16,(13.18191079473439+0j)
tqwt_energy_dec_16,(13.095255049420647+0j)
tqwt_maxValue_dec_14,(13.044909418992566+0j)
tqwt_skewnessValue_dec_36,(13.033880824199448+0j)
tqwt_entropy_log_dec_35,(12.963049425946233+0j)
tqwt_minValue_dec_14,(12.868040911236708+0j)
tqwt_stdValue_dec_15,(12.829789220404352+0j)
tqwt_entropy_log_dec_12,(12.765600764800062+0j)
tqwt_energy_dec_26,(12.749525582521013+0j)
std_10th_delta,(12.708938706342472+0j)
std_8th_delta,(12.688455051690417+0j)
tqwt_kurtosisValue_dec_30,(12.536520847380789+0j)
tqwt_entropy_shannon_dec_14,(12.507770937566827+0j)
tqwt_kurtosisValue_dec_32,(12.478514222305273+0j)
tqwt_entropy_log_dec_34,(12.445583627563803+0j)
tqwt_maxValue_dec_15,(12.430497148256082+0j)
tqwt_entropy_log_dec_16,(12.394093309239103+0j)
stdDevPeriodPulses,(12.379761382825361+0j)
std_6th_delta_delta,(12.372828814054138+0j)
std_9th_delta,(12.370347286111752+0j)
RPDE,(12.289548351951206+0j)
tqwt_entropy_log_dec_15,(12.233429634137988+0j)
tqwt_entropy_log_dec_13,(12.198429372339657+0j)
tqwt_energy_dec_17,(12.186635811186758+0j)
std_11th_delta_delta,(12.119475706859511+0j)
tqwt_energy_dec_25,(12.107397057111681+0j)
std_MFCC_3rd_coef,(12.02975577812636+0j)
tqwt_minValue_dec_25,(11.941204900883328+0j)
tqwt_skewnessValue_dec_35,(11.93963955043292+0j)
tqwt_minValue_dec_11,(11.919728532173878+0j)
tqwt_entropy_log_dec_17,(11.872162063188597+0j)
std_11th_delta,(11.86317279255795+0j)
f1,(11.862144308086338+0j)
tqwt_maxValue_dec_25,(11.861125625937198+0j)
std_12th_delta,(11.809932370152795+0j)
std_12th_delta_delta,(11.80824941010324+0j)
std_4th_delta_delta,(11.79387173915726+0j)
tqwt_entropy_log_dec_14,(11.782758687337786+0j)
tqwt_kurtosisValue_dec_31,(11.732915708759124+0j)
GQ_std_cycle_closed,(11.695720778158748+0j)
tqwt_energy_dec_27,(11.692884391304563+0j)
tqwt_stdValue_dec_25,(11.643507850124664+0j)
std_3rd_delta_delta,(11.64125252728017+0j)
PPE,(11.581544824329793+0j)
tqwt_maxValue_dec_11,(11.576667230313019+0j)
tqwt_minValue_dec_26,(11.55456990858587+0j)
std_6th_delta,(11.512410301091982+0j)
locDbShimmer,(11.48066416246241+0j)
std_7th_delta_delta,(11.454897350177315+0j)
tqwt_stdValue_dec_14,(11.452176130868782+0j)
tqwt_kurtosisValue_dec_28,(11.431274102545892+0j)
tqwt_maxValue_dec_26,(11.394620736869296+0j)
tqwt_energy_dec_18,(11.385804368286646+0j)
tqwt_stdValue_dec_9,(11.382692622144177+0j)
std_4th_delta,(11.362009395658568+0j)
minIntensity,(11.341584847172001+0j)
tqwt_minValue_dec_12,(11.340606990670501+0j)
tqwt_maxValue_dec_12,(11.313951558698852+0j)
GQ_prc5_95,(11.28608156074882+0j)
f3,(11.264368655578085+0j)
tqwt_entropy_log_dec_36,(11.25235545887992+0j)
meanHarmToNoiseHarmonicity,(11.23153660001286+0j)
tqwt_stdValue_dec_17,(11.154087157591324+0j)
tqwt_energy_dec_24,(11.142007146268725+0j)
tqwt_maxValue_dec_16,(11.129992168265474+0j)
tqwt_stdValue_dec_11,(11.108216188029392+0j)
tqwt_stdValue_dec_26,(11.098156961255537+0j)
mean_MFCC_9th_coef,(11.09412680166135+0j)
tqwt_maxValue_dec_1,(11.0721946597986+0j)
tqwt_minValue_dec_16,(11.06943688343912+0j)
std_3rd_delta,(11.01967006251564+0j)
mean_MFCC_3rd_coef,(10.996973074554408+0j)
app_LT_TKEO_mean_5_coef,(10.965048424314237+0j)
tqwt_entropy_log_dec_11,(10.942682867835783+0j)
meanIntensity,(10.940509553605928+0j)
app_LT_TKEO_mean_6_coef,(10.929039437401158+0j)
det_LT_entropy_log_7_coef,(10.920123060403895+0j)
app_LT_TKEO_mean_7_coef,(10.910995053663306+0j)
tqwt_entropy_log_dec_25,(10.901111364509388+0j)
std_7th_delta,(10.889003150215766+0j)
app_LT_TKEO_std_5_coef,(10.884155451402863+0j)
tqwt_entropy_log_dec_33,(10.879961387438179+0j)
locShimmer,(10.863941035315904+0j)
tqwt_maxValue_dec_18,(10.859466625618+0j)
std_5th_delta_delta,(10.837352907364583+0j)
tqwt_minValue_dec_13,(10.83672478472826+0j)
tqwt_TKEO_std_dec_15,(10.83336571860486+0j)
tqwt_minValue_dec_18,(10.831409709970936+0j)
tqwt_maxValue_dec_9,(10.806115043622395+0j)
app_LT_TKEO_std_8_coef,(10.802720250312598+0j)
app_LT_TKEO_std_4_coef,(10.802638694051144+0j)
app_LT_TKEO_std_6_coef,(10.786763900087047+0j)
tqwt_stdValue_dec_18,(10.782129713734246+0j)
app_LT_TKEO_mean_9_coef,(10.77132802862252+0j)
app_LT_TKEO_mean_8_coef,(10.771166072806004+0j)
tqwt_energy_dec_15,(10.770710297937367+0j)
tqwt_maxValue_dec_13,(10.769633151397866+0j)
app_LT_TKEO_mean_10_coef,(10.74136399799216+0j)
meanPeriodPulses,(10.731451230647137+0j)
tqwt_skewnessValue_dec_34,(10.723688094648292+0j)
app_LT_TKEO_std_10_coef,(10.721301248290157+0j)
apq3Shimmer,(10.711353799615239+0j)
ddaShimmer,(10.71085879387384+0j)
tqwt_entropy_log_dec_31,(10.69972487648417+0j)
tqwt_entropy_log_dec_18,(10.676855551930732+0j)
tqwt_minValue_dec_10,(10.65722857769245+0j)
app_LT_TKEO_std_9_coef,(10.62522578830564+0j)
std_MFCC_4th_coef,(10.604478727534328+0j)
tqwt_maxValue_dec_10,(10.588451377854014+0j)
det_entropy_log_7_coef,(10.578635219509152+0j)
mean_MFCC_10th_coef,(10.568513514069945+0j)
maxIntensity,(10.557289026368093+0j)
std_MFCC_10th_coef,(10.552687964001805+0j)
