,Relief_Concept_Score
tqwt_entropy_shannon_dec_16,0.20760194716182967
tqwt_entropy_shannon_dec_15,0.16839916766646207
mean_MFCC_2nd_coef,0.16365324906398604
std_8th_delta_delta,0.16238745658187162
EEG,0.1584730762749738
std_9th_delta_delta,0.15073624780683675
tqwt_entropy_log_dec_27,0.14589733333057525
tqwt_entropy_log_dec_26,0.14554801485628455
tqwt_entropy_log_dec_12,0.14517828140755695
std_10th_delta_delta,0.14286777053791122
tqwt_kurtosisValue_dec_36,0.1427459448522851
tqwt_entropy_shannon_dec_17,0.14263364286307545
tqwt_stdValue_dec_15,0.1411256443013168
tqwt_maxValue_dec_14,0.14112485968040792
tqwt_minValue_dec_11,0.14046094904503792
tqwt_stdValue_dec_16,0.14012295601759964
tqwt_minValue_dec_14,0.138401859272006
tqwt_maxValue_dec_11,0.13630569997318576
std_8th_delta,0.13528512189586017
tqwt_entropy_shannon_dec_14,0.13295481142054133
tqwt_minValue_dec_15,0.13187936350600127
tqwt_minValue_dec_12,0.1318457078110683
tqwt_stdValue_dec_11,0.1311738734390211
tqwt_kurtosisValue_dec_35,0.13081558901792154
tqwt_maxValue_dec_12,0.13061932051810896
std_10th_delta,0.129266716874814
std_9th_delta,0.12899058443524578
tqwt_entropy_log_dec_13,0.1287187233272823
tqwt_entropy_log_dec_35,0.12789954177683593
std_6th_delta_delta,0.12760905449099033
tqwt_energy_dec_16,0.12747217458919843
tqwt_entropy_log_dec_16,0.12426049914393966
std_11th_delta_delta,0.12394933444718684
tqwt_entropy_log_dec_34,0.1212854622827611
tqwt_entropy_log_dec_15,0.12114275236701755
tqwt_stdValue_dec_14,0.11995794291415016
f1,0.11877027284618075
tqwt_maxValue_dec_15,0.11835896299437595
std_11th_delta,0.11727099799575805
std_12th_delta_delta,0.11678995528681113
tqwt_minValue_dec_13,0.11583503506153836
tqwt_kurtosisValue_dec_34,0.11543646180422507
tqwt_entropy_log_dec_14,0.1142914888247486
tqwt_maxValue_dec_13,0.11352908107366474
std_6th_delta,0.11208404341257502
tqwt_stdValue_dec_9,0.11167702832586285
std_12th_delta,0.11143986698044989
std_7th_delta_delta,0.11101087680768587
tqwt_energy_dec_15,0.11058120993198242
tqwt_kurtosisValue_dec_28,0.10979268291158416
tqwt_entropy_log_dec_17,0.10924892527152785
RPDE,0.10890920751979011
tqwt_entropy_log_dec_11,0.10865778210026994
tqwt_entropy_log_dec_28,0.10741517486796642
std_4th_delta_delta,0.1074076246934422
tqwt_stdValue_dec_10,0.1042724754087006
tqwt_minValue_dec_10,0.10396886886276502
tqwt_energy_dec_26,0.10287867840190588
tqwt_TKEO_std_dec_15,0.10279639919052357
tqwt_maxValue_dec_10,0.1025767868628861
std_7th_delta,0.10144077143942795
std_4th_delta,0.1013781014035077
minIntensity,0.10129323705829907
app_LT_TKEO_mean_7_coef,0.10070543264475312
app_LT_TKEO_mean_5_coef,0.10042353938886645
app_LT_TKEO_mean_6_coef,0.10040203921147611
app_LT_TKEO_std_5_coef,0.09948717134575547
app_LT_TKEO_std_8_coef,0.09917412423941196
tqwt_energy_dec_14,0.09862977187733028
app_LT_TKEO_mean_9_coef,0.09856268347105518
app_LT_TKEO_mean_8_coef,0.09855949977792994
tqwt_kurtosisValue_dec_27,0.0985060367695858
app_LT_TKEO_mean_10_coef,0.09805310277221918
app_LT_TKEO_std_4_coef,0.09780801822550361
app_LT_TKEO_std_10_coef,0.09776281543660614
app_LT_TKEO_std_6_coef,0.09758495782506926
