,FSASL_Score
tqwt_meanValue_dec_5,1.0
tqwt_meanValue_dec_30,0.9999999999999998
meanPeriodPulses,4.535506289158289e-16
numPeriodsPulses,3.4023069040072155e-16
rapJitter,3.3496001050736405e-16
locPctJitter,3.173756416646916e-16
numPulses,2.4027376011153805e-16
RPDE,1.5299635442945518e-16
locAbsJitter,9.7708482208352e-17
GQ_std_cycle_closed,5.5004396127222235e-17
EEG,4.82001244264284e-17
det_LT_entropy_log_4_coef,3.625565250470832e-17
det_LT_entropy_log_6_coef,3.5817021995466704e-17
det_LT_entropy_log_5_coef,3.2955443302336533e-17
det_entropy_log_4_coef,3.204657853223384e-17
det_LT_TKEO_mean_6_coef,2.6714882099455576e-17
GQ_prc5_95,2.5517120185058646e-17
det_LT_entropy_log_3_coef,2.3014310142173862e-17
stdDevPeriodPulses,2.211278170295184e-17
det_LT_TKEO_std_6_coef,1.933398219614784e-17
det_LT_entropy_log_7_coef,1.7826351153259934e-17
det_entropy_log_7_coef,1.2320005459397655e-17
std_MFCC_3rd_coef,1.1984780705396374e-17
std_11th_delta_delta,1.1685727700314433e-17
locDbShimmer,1.1278041858201312e-17
apq3Shimmer,1.113908438990224e-17
det_LT_entropy_log_8_coef,1.0282012214241952e-17
det_entropy_log_5_coef,9.887417987630811e-18
det_entropy_log_6_coef,9.733870109024749e-18
std_MFCC_12th_coef,8.600430061685747e-18
std_0th_delta,8.259380632195397e-18
std_delta_delta_0th,8.139700493839852e-18
std_2nd_delta,7.993750585668885e-18
meanAutoCorrHarmonicity,7.985985714699198e-18
det_entropy_log_10_coef,7.719640649637632e-18
std_4th_delta,7.40564595682362e-18
det_LT_TKEO_mean_4_coef,7.376186036232326e-18
std_MFCC_2nd_coef,7.37435181751657e-18
meanNoiseToHarmHarmonicity,7.372934058823318e-18
std_8th_delta_delta,7.349518835820733e-18
det_TKEO_std_9_coef,7.107348734390206e-18
std_MFCC_1st_coef,7.03230204480254e-18
det_entropy_log_2_coef,7.016686413462221e-18
std_MFCC_5th_coef,6.9134910619271865e-18
b2,6.865669205753309e-18
tqwt_maxValue_dec_22,6.791269705975876e-18
Ed2_4_coef,6.75744201669136e-18
std_8th_delta,6.706415728608323e-18
det_LT_TKEO_std_3_coef,6.6994185731762546e-18
std_10th_delta_delta,6.697371788119079e-18
Ed2_6_coef,6.592049139143978e-18
det_LT_TKEO_mean_9_coef,6.541886050724893e-18
std_MFCC_7th_coef,6.5285528278073344e-18
std_11th_delta,6.474436245614191e-18
app_det_TKEO_mean_2_coef,6.4477967778041415e-18
std_10th_delta,6.417813742787067e-18
det_LT_TKEO_std_9_coef,6.225284932345382e-18
locShimmer,6.203220453396267e-18
std_MFCC_10th_coef,6.0581169668370405e-18
det_TKEO_mean_9_coef,6.054915318388474e-18
std_MFCC_9th_coef,5.985215845603266e-18
std_MFCC_0th_coef,5.9284243041545855e-18
std_12th_delta,5.9162370889079734e-18
tqwt_minValue_dec_22,5.905958302356405e-18
std_MFCC_11th_coef,5.8317628989314116e-18
mean_Log_energy,5.830678616499513e-18
std_4th_delta_delta,5.794031860948656e-18
tqwt_TKEO_std_dec_22,5.7669531692977085e-18
app_LT_TKEO_std_1_coef,5.754586173596086e-18
Ed_6_coef,5.7543870672468386e-18
std_delta_log_energy,5.5822008744330775e-18
tqwt_kurtosisValue_dec_33,5.510371681410055e-18
std_6th_delta_delta,5.4874147899016145e-18
tqwt_kurtosisValue_dec_32,5.463243462130779e-18
det_TKEO_mean_6_coef,5.3791152857844486e-18
std_delta_delta_log_energy,5.361719642762987e-18
std_9th_delta_delta,5.342277572268438e-18
std_2nd_delta_delta,5.335530649603306e-18
app_TKEO_std_4_coef,5.272334619078883e-18
std_3rd_delta_delta,5.178156574221247e-18
ddaShimmer,5.166891681610932e-18
minIntensity,5.16244885543825e-18
Ed_10_coef,5.153107810233036e-18
std_1st_delta,5.150376603665408e-18
app_LT_TKEO_std_2_coef,5.146996062159406e-18
app_TKEO_std_3_coef,5.091109441283334e-18
tqwt_kurtosisValue_dec_35,5.0691857872872336e-18
det_TKEO_mean_4_coef,5.00027931400743e-18
Ed2_9_coef,4.985248423773779e-18
tqwt_entropy_shannon_dec_34,4.974329969283385e-18
tqwt_maxValue_dec_31,4.897122294127925e-18
det_LT_entropy_log_2_coef,4.816987658695045e-18
tqwt_kurtosisValue_dec_30,4.814436299716956e-18
std_12th_delta_delta,4.744314386489002e-18
tqwt_minValue_dec_36,4.726564622109567e-18
tqwt_maxValue_dec_34,4.6257982238597536e-18
app_TKEO_std_5_coef,4.620755793003536e-18
tqwt_minValue_dec_11,4.5977206950403574e-18
std_7th_delta_delta,4.558339341956136e-18
det_LT_TKEO_std_4_coef,4.550982040208926e-18
tqwt_entropy_shannon_dec_16,4.549623302551066e-18
tqwt_maxValue_dec_10,4.542734170620311e-18
Ed2_8_coef,4.53714569887236e-18
det_entropy_log_1_coef,4.52051863681495e-18
tqwt_kurtosisValue_dec_31,4.487788049670307e-18
det_LT_entropy_log_10_coef,4.466354899901672e-18
det_LT_entropy_log_1_coef,4.457409664609732e-18
det_TKEO_std_3_coef,4.4075598398112374e-18
det_LT_TKEO_std_8_coef,4.384454204302287e-18
tqwt_minValue_dec_31,4.37707803649587e-18
det_TKEO_mean_5_coef,4.3599681432548525e-18
tqwt_stdValue_dec_34,4.317030771437918e-18
tqwt_energy_dec_16,4.3129515415258644e-18
det_TKEO_std_4_coef,4.281380993590367e-18
Ed2_5_coef,4.2590842084161915e-18
std_5th_delta_delta,4.233121862229517e-18
det_TKEO_mean_10_coef,4.202055988941171e-18
Ed_8_coef,4.190946759718573e-18
det_LT_entropy_shannon_4_coef,4.1853263323949156e-18
det_LT_TKEO_mean_8_coef,4.1775767995911625e-18
mean_MFCC_10th_coef,4.175087722301392e-18
app_det_TKEO_mean_5_coef,4.1531263028340205e-18
app_LT_TKEO_std_3_coef,4.152387481481519e-18
std_6th_delta,4.1509654275721716e-18
det_entropy_shannon_8_coef,4.0791343530019975e-18
det_TKEO_std_10_coef,4.076385075973274e-18
tqwt_entropy_log_dec_30,4.0734595988597155e-18
Ea2,4.017862947980126e-18
ppq5Jitter,3.972811645133168e-18
det_entropy_shannon_6_coef,3.967396230129046e-18
meanHarmToNoiseHarmonicity,3.953707569240561e-18
std_Log_energy,3.951938281700935e-18
det_entropy_shannon_10_coef,3.945958529702065e-18
tqwt_energy_dec_22,3.940951305378596e-18
tqwt_minValue_dec_35,3.939059633096448e-18
std_7th_delta,3.926534384064702e-18
app_TKEO_std_1_coef,3.8915763270132074e-18
det_TKEO_std_5_coef,3.854688924470373e-18
std_1st_delta_delta,3.847540873188015e-18
tqwt_maxValue_dec_35,3.84389855549303e-18
