,LASSO_Coefficient_Absolute_Value
tqwt_entropy_log_dec_33,0.49814706898541516
tqwt_maxValue_dec_11,0.3662244804853891
tqwt_entropy_log_dec_26,0.3532150232529138
tqwt_kurtosisValue_dec_33,0.3312151768905093
tqwt_kurtosisValue_dec_31,0.299617669882297
tqwt_maxValue_dec_25,0.27378135189730296
std_delta_delta_log_energy,0.2719060408211189
tqwt_entropy_log_dec_28,0.21639237783490609
mean_2nd_delta,0.20929750917687584
std_7th_delta_delta,0.20284539023422907
std_6th_delta_delta,0.20024306331925765
std_9th_delta_delta,0.18911487236528546
mean_MFCC_6th_coef,0.18516821138778206
mean_MFCC_1st_coef,0.1672879835602614
EEG,0.15870694433884336
std_8th_delta,0.15647501099224528
tqwt_stdValue_dec_6,0.140931527384598
tqwt_minValue_dec_17,0.13844024884273692
tqwt_entropy_shannon_dec_25,0.1380977670974475
tqwt_kurtosisValue_dec_28,0.13750340747831483
mean_MFCC_10th_coef,0.13401568666940453
std_MFCC_2nd_coef,0.12929481710440288
tqwt_energy_dec_19,0.11399320837723095
tqwt_entropy_log_dec_35,0.10665684295922362
f1,0.09935503625410828
b4,0.09291409273061066
tqwt_skewnessValue_dec_28,0.09117960537664799
tqwt_kurtosisValue_dec_27,0.08873188432332216
tqwt_energy_dec_17,0.08287157693682395
mean_11th_delta_delta,0.07722081215165219
mean_10th_delta_delta,0.07528156229983697
tqwt_medianValue_dec_25,0.07235720748508044
RPDE,0.06880476109420412
tqwt_medianValue_dec_10,0.06600729808059325
mean_MFCC_9th_coef,0.06338787082571756
tqwt_entropy_shannon_dec_34,0.0561439816751852
tqwt_energy_dec_5,0.05463573657547211
std_10th_delta,0.05390347159718477
f2,0.05232181171248261
std_MFCC_3rd_coef,0.0513605569649251
std_MFCC_12th_coef,0.049562544965646424
tqwt_entropy_shannon_dec_17,0.04953136541842761
tqwt_minValue_dec_12,0.049510909701145585
tqwt_maxValue_dec_17,0.04068729377774183
tqwt_medianValue_dec_5,0.03714869013073076
mean_MFCC_7th_coef,0.03453967445516315
tqwt_energy_dec_18,0.028991762382854894
tqwt_minValue_dec_5,0.02881280729431307
tqwt_minValue_dec_21,0.02764495422918471
tqwt_energy_dec_24,0.027263737120057283
tqwt_energy_dec_25,0.02081397488627815
tqwt_kurtosisValue_dec_36,0.01963245035869961
mean_3rd_delta,0.016585401534036516
tqwt_energy_dec_15,0.014617182052588202
mean_12th_delta_delta,0.011527868837725174
tqwt_entropy_shannon_dec_35,0.011066731430637147
tqwt_entropy_log_dec_36,0.00572787110604542
det_entropy_log_5_coef,0.005244245128766261
stdDevPeriodPulses,0.0017558196144352204
det_entropy_log_9_coef,0.0005691473524544941
tqwt_stdValue_dec_11,0.0003984530638945398
