,UMCFS_Importance
app_entropy_log_6_coef,1.8269609392592176e+16
app_entropy_log_10_coef,1.5867445074671726e+16
app_LT_entropy_log_6_coef,1.1734103483998822e+16
app_LT_entropy_log_10_coef,5671806766791092.0
app_LT_entropy_shannon_1_coef,2644978314904519.5
app_LT_entropy_log_1_coef,1800424448560749.2
app_LT_TKEO_mean_4_coef,1340386264216384.2
app_TKEO_std_8_coef,845281764216356.0
app_LT_TKEO_mean_5_coef,620588458970655.6
app_TKEO_std_6_coef,457601717047766.94
app_LT_TKEO_mean_3_coef,456517251356260.75
det_LT_entropy_shannon_10_coef,406544126296234.44
det_entropy_shannon_5_coef,397665235064336.1
app_entropy_log_1_coef,361219420908894.6
det_LT_TKEO_mean_1_coef,343767492487540.06
det_TKEO_mean_5_coef,324525673268460.1
det_LT_TKEO_mean_2_coef,315606092070506.1
app_LT_TKEO_std_7_coef,270483425843891.0
Ed_9_coef,262785254258846.1
app_LT_entropy_shannon_8_coef,256856231071634.38
det_LT_TKEO_std_7_coef,236708714427378.75
det_LT_TKEO_std_2_coef,236261240422611.44
det_LT_TKEO_mean_9_coef,234840019214763.1
app_TKEO_std_1_coef,223464799095480.2
det_LT_TKEO_std_1_coef,216769682413467.2
app_LT_TKEO_std_5_coef,207300500592471.03
app_LT_TKEO_std_4_coef,183903355443655.56
det_LT_TKEO_mean_5_coef,177740765617597.44
det_LT_entropy_shannon_8_coef,172012978182575.8
det_LT_TKEO_std_5_coef,162047199206292.7
app_LT_TKEO_std_6_coef,158583002640303.06
app_LT_TKEO_mean_1_coef,133000377319886.02
Ed_8_coef,128344359529309.05
tqwt_energy_dec_10,113187484480251.56
det_TKEO_std_2_coef,108838032754919.27
det_LT_entropy_shannon_6_coef,94299923166437.92
Ed_7_coef,91047118980125.25
tqwt_entropy_shannon_dec_32,90761074314603.06
det_LT_entropy_shannon_9_coef,89866531489063.88
det_LT_entropy_shannon_5_coef,77755825454502.06
tqwt_energy_dec_11,72720642430663.38
app_LT_TKEO_std_2_coef,65043368375510.88
tqwt_energy_dec_13,59771313564612.266
tqwt_energy_dec_9,57404660628609.266
det_LT_entropy_shannon_1_coef,56904947345384.82
det_LT_entropy_log_5_coef,55174052722346.734
