,0
PPE,3.876592073056689e-38
EEG,4.219838328172e-33
RPDE,3.250000427783307e-33
numPulses,2.838241026316923e-31
numPeriodsPulses,2.3231744400944314e-31
meanPeriodPulses,5.371691428506754e-34
stdDevPeriodPulses,3.4327754359607236e-35
locPctJitter,7.028472394222369e-33
locAbsJitter,2.015776905025042e-32
rapJitter,2.1525943197755945e-31
ppq5Jitter,1.6393109216474928e-35
ddpJitter,1.262402852550066e-31
locShimmer,1.7582977045719757e-31
locDbShimmer,1.1385205579842924e-32
apq3Shimmer,9.236788102586514e-33
apq5Shimmer,2.1567291129476892e-32
apq11Shimmer,6.529538746817675e-34
ddaShimmer,4.869928262733027e-32
meanAutoCorrHarmonicity,3.086646700018999e-32
meanNoiseToHarmHarmonicity,7.676663740409428e-33
meanHarmToNoiseHarmonicity,3.5280651060187842e-34
minIntensity,2.587889268862048e-31
maxIntensity,9.879032872724996e-32
meanIntensity,4.483246708988791e-31
f1,3.955182350091524e-33
f2,1.5991223221624245e-33
f3,6.485933598215516e-35
f4,4.450172648564413e-34
b1,1.0706542538117433e-33
b2,8.996643442687883e-34
b3,2.08933206386666e-33
b4,2.8814339246877534e-34
GQ_prc5_95,1.7510433918771592e-33
GQ_std_cycle_open,5.232000497409904e-34
GQ_std_cycle_closed,1.8273764774481254e-33
GNE_mean,1.4242304637377815e-32
GNE_std,3.6950478946018726e-32
GNE_SNR_TKEO,1.3140444390409183e-33
GNE_SNR_SEO,1.3111191051791563e-34
GNE_NSR_TKEO,4.0675531860144176e-33
GNE_NSR_SEO,4.551506624922701e-34
VFER_mean,4.780572143999801e-32
VFER_std,7.121256531644446e-33
VFER_entropy,3.4585495738460575e-32
VFER_SNR_TKEO,4.564719473456712e-34
VFER_SNR_SEO,1.7529146217241766e-33
VFER_NSR_TKEO,3.0155980040429223e-34
VFER_NSR_SEO,1.0010316430112373e-32
IMF_SNR_SEO,1.5888383102929196e-32
IMF_SNR_TKEO,9.066278191287931e-33
IMF_SNR_entropy,2.564279739282201e-32
IMF_NSR_SEO,3.971519440583043e-32
IMF_NSR_TKEO,2.512540220065283e-34
IMF_NSR_entropy,6.373979638459696e-32
mean_Log_energy,4.31152306003965e-33
mean_MFCC_0th_coef,6.052417145069839e-35
mean_MFCC_1st_coef,1.0261398545104232e-32
mean_MFCC_2nd_coef,4.047187334982979e-34
mean_MFCC_3rd_coef,1.815444960091249e-32
mean_MFCC_4th_coef,5.999049816286663e-34
mean_MFCC_5th_coef,1.539597775889398e-33
mean_MFCC_6th_coef,5.192419748936353e-33
mean_MFCC_7th_coef,3.707033296385084e-33
mean_MFCC_8th_coef,1.0464628852862897e-32
mean_MFCC_9th_coef,3.897045303111639e-33
mean_MFCC_10th_coef,1.106938397761028e-34
mean_MFCC_11th_coef,2.0518523785016274e-33
mean_MFCC_12th_coef,3.39477826311157e-34
mean_delta_log_energy,7.432680919957804e-32
mean_0th_delta,6.206197576202835e-33
mean_1st_delta,7.792522452367754e-34
mean_2nd_delta,3.512531947083328e-33
mean_3rd_delta,3.0346051029166184e-33
mean_4th_delta,8.27814222255975e-34
mean_5th_delta,6.128175839026422e-34
mean_6th_delta,3.903848017143953e-34
mean_7th_delta,2.728976867489644e-35
mean_8th_delta,2.8658850774158616e-34
mean_9th_delta,2.2354661085991806e-33
mean_10th_delta,2.6039244448046854e-33
mean_11th_delta,1.8228521668685147e-33
mean_12th_delta,4.3733995032342715e-35
mean_delta_delta_log_energy,1.624347038544006e-32
mean_delta_delta_0th,8.794578692438446e-33
mean_1st_delta_delta,3.77781502816857e-33
mean_2nd_delta_delta,4.94897760067526e-34
mean_3rd_delta_delta,5.527760519303582e-33
mean_4th_delta_delta,1.0250681561767592e-33
mean_5th_delta_delta,1.0085133364120156e-33
mean_6th_delta_delta,4.748413684472439e-33
mean_7th_delta_delta,2.37311237337084e-34
mean_8th_delta_delta,5.398830172589326e-34
mean_9th_delta_delta,5.758551452856495e-33
mean_10th_delta_delta,3.4347042727329747e-35
mean_11th_delta_delta,1.0728677300162375e-33
mean_12th_delta_delta,3.336141355537167e-33
std_Log_energy,9.099279975787483e-32
std_MFCC_0th_coef,4.2418416399533404e-35
std_MFCC_1st_coef,9.729040971282835e-33
std_MFCC_2nd_coef,1.2105818969856998e-33
std_MFCC_3rd_coef,2.9995353322996086e-34
std_MFCC_4th_coef,2.3065873242953634e-34
std_MFCC_5th_coef,1.8791540988340627e-33
std_MFCC_6th_coef,2.4128044389145634e-34
std_MFCC_7th_coef,3.4371588669498344e-33
std_MFCC_8th_coef,2.556794904850121e-34
std_MFCC_9th_coef,3.805438104592999e-33
std_MFCC_10th_coef,1.2352625024677656e-32
std_MFCC_11th_coef,4.547442636010049e-33
std_MFCC_12th_coef,4.324463410475383e-33
std_delta_log_energy,2.845908489159304e-32
std_0th_delta,1.0281992494557703e-31
std_1st_delta,5.4209558892920357e-33
std_2nd_delta,1.7232479111483542e-32
std_3rd_delta,7.052124785642608e-33
std_4th_delta,1.9713713924553615e-32
std_5th_delta,9.39136944690884e-34
std_6th_delta,4.825622531299849e-33
std_7th_delta,3.037107353184755e-33
std_8th_delta,2.338977255385802e-33
std_9th_delta,2.3528649614604315e-34
std_10th_delta,4.243417755048098e-33
std_11th_delta,6.231165142057721e-33
std_12th_delta,1.4037427688250312e-33
