,Combined_Score
app_LT_entropy_shannon_10_coef,0.377434
app_LT_entropy_shannon_9_coef,0.376965
app_entropy_shannon_10_coef,0.376958
app_LT_entropy_shannon_8_coef,0.376492
app_entropy_shannon_9_coef,0.376130
app_entropy_shannon_8_coef,0.374843
tqwt_entropy_shannon_dec_32,0.285385
app_entropy_shannon_4_coef,0.268562
app_det_TKEO_mean_9_coef,0.267450
app_det_TKEO_mean_10_coef,0.263994
app_entropy_shannon_6_coef,0.254789
tqwt_stdValue_dec_8,0.248049
tqwt_entropy_shannon_dec_16,0.247687
tqwt_entropy_log_dec_12,0.244718
app_entropy_log_5_coef,0.233245
tqwt_minValue_dec_18,0.231986
app_TKEO_std_8_coef,0.229210
tqwt_TKEO_std_dec_4,0.211460
tqwt_stdValue_dec_33,0.208625
det_LT_entropy_shannon_7_coef,0.200961
tqwt_entropy_log_dec_13,0.200827
tqwt_minValue_dec_24,0.200581
det_TKEO_std_7_coef,0.196637
app_LT_TKEO_std_8_coef,0.194273
tqwt_entropy_shannon_dec_17,0.193367
tqwt_stdValue_dec_16,0.192720
app_LT_TKEO_std_7_coef,0.192610
app_LT_TKEO_std_9_coef,0.189428
tqwt_maxValue_dec_33,0.187399
tqwt_entropy_shannon_dec_33,0.187041
tqwt_stdValue_dec_14,0.186298
app_LT_TKEO_std_10_coef,0.184721
tqwt_stdValue_dec_17,0.183929
det_entropy_shannon_7_coef,0.183620
app_LT_TKEO_mean_10_coef,0.182459
tqwt_maxValue_dec_8,0.181919
tqwt_TKEO_mean_dec_4,0.181822
app_entropy_shannon_1_coef,0.181009
app_LT_TKEO_mean_8_coef,0.180388
app_LT_TKEO_mean_9_coef,0.180362
app_entropy_shannon_2_coef,0.179252
app_TKEO_std_2_coef,0.177793
app_LT_entropy_shannon_4_coef,0.176677
app_entropy_shannon_3_coef,0.176673
tqwt_minValue_dec_8,0.176578
app_LT_entropy_shannon_5_coef,0.174679
tqwt_minValue_dec_14,0.170993
app_TKEO_std_10_coef,0.169687
tqwt_TKEO_mean_dec_14,0.169607
tqwt_maxValue_dec_14,0.169179
app_LT_entropy_shannon_3_coef,0.168748
tqwt_stdValue_dec_15,0.167717
tqwt_stdValue_dec_27,0.166786
det_TKEO_std_6_coef,0.166670
tqwt_maxValue_dec_17,0.166627
Ed2_5_coef,0.165318
app_LT_entropy_shannon_6_coef,0.164247
tqwt_entropy_shannon_dec_14,0.164002
app_entropy_shannon_5_coef,0.163653
app_LT_TKEO_mean_7_coef,0.162801
app_det_TKEO_mean_8_coef,0.161526
tqwt_energy_dec_32,0.160157
app_LT_entropy_shannon_7_coef,0.159600
app_TKEO_std_9_coef,0.159451
tqwt_minValue_dec_17,0.158651
det_LT_entropy_shannon_5_coef,0.158331
tqwt_maxValue_dec_13,0.157990
tqwt_stdValue_dec_13,0.157758
tqwt_maxValue_dec_25,0.157387
tqwt_entropy_shannon_dec_15,0.157361
app_entropy_log_6_coef,0.156670
tqwt_TKEO_mean_dec_28,0.156388
Ea,0.156333
app_entropy_log_2_coef,0.156100
app_entropy_shannon_7_coef,0.155543
app_LT_entropy_shannon_2_coef,0.155164
app_LT_TKEO_std_6_coef,0.152705
app_LT_TKEO_mean_6_coef,0.152464
app_det_TKEO_mean_1_coef,0.152399
tqwt_medianValue_dec_35,0.151729
tqwt_entropy_shannon_dec_27,0.151660
tqwt_minValue_dec_13,0.150893
app_entropy_log_7_coef,0.150698
app_entropy_log_8_coef,0.149603
app_entropy_log_9_coef,0.149601
app_entropy_log_10_coef,0.149331
tqwt_maxValue_dec_16,0.149042
tqwt_maxValue_dec_3,0.148245
tqwt_minValue_dec_16,0.148132
app_LT_TKEO_std_5_coef,0.148067
app_LT_entropy_log_8_coef,0.146697
app_LT_entropy_log_9_coef,0.146688
app_LT_entropy_log_10_coef,0.146636
det_TKEO_std_3_coef,0.146086
tqwt_entropy_log_dec_14,0.145735
tqwt_TKEO_std_dec_29,0.145546
tqwt_entropy_log_dec_16,0.145088
app_LT_entropy_shannon_1_coef,0.144662
app_LT_TKEO_mean_5_coef,0.144401
app_LT_TKEO_std_4_coef,0.142393
tqwt_entropy_shannon_dec_18,0.141591
app_det_TKEO_mean_7_coef,0.140233
tqwt_TKEO_std_dec_21,0.140041
tqwt_medianValue_dec_28,0.138409
tqwt_maxValue_dec_28,0.137292
tqwt_maxValue_dec_18,0.137001
app_det_TKEO_mean_6_coef,0.136891
tqwt_minValue_dec_9,0.136589
tqwt_minValue_dec_7,0.136533
tqwt_stdValue_dec_18,0.135897
tqwt_stdValue_dec_7,0.135530
tqwt_entropy_log_dec_17,0.135210
tqwt_maxValue_dec_9,0.134706
tqwt_entropy_log_dec_15,0.134056
tqwt_entropy_shannon_dec_4,0.133165
tqwt_minValue_dec_15,0.132969
tqwt_stdValue_dec_26,0.132867
app_LT_entropy_log_1_coef,0.132641
app_det_TKEO_mean_5_coef,0.132130
app_LT_entropy_log_3_coef,0.132001
app_TKEO_std_7_coef,0.131502
app_TKEO_std_6_coef,0.131108
tqwt_maxValue_dec_7,0.130906
app_LT_entropy_log_4_coef,0.130744
app_TKEO_std_5_coef,0.129801
tqwt_stdValue_dec_11,0.128160
tqwt_entropy_shannon_dec_31,0.127777
tqwt_maxValue_dec_15,0.127262
app_TKEO_std_4_coef,0.127050
app_LT_TKEO_std_3_coef,0.126919
app_det_TKEO_mean_4_coef,0.126734
tqwt_TKEO_mean_dec_16,0.126205
tqwt_meanValue_dec_32,0.126016
Ed2_1_coef,0.125980
app_LT_TKEO_mean_4_coef,0.124592
tqwt_energy_dec_17,0.123640
meanHarmToNoiseHarmonicity,0.122290
det_TKEO_std_10_coef,0.121989
app_LT_entropy_log_7_coef,0.121854
tqwt_stdValue_dec_32,0.121756
tqwt_entropy_shannon_dec_20,0.121605
tqwt_kurtosisValue_dec_5,0.120878
tqwt_entropy_shannon_dec_36,0.119888
tqwt_medianValue_dec_18,0.119862
numPeriodsPulses,0.119738
tqwt_kurtosisValue_dec_4,0.118850
app_LT_entropy_log_6_coef,0.118487
tqwt_maxValue_dec_30,0.118393
det_LT_entropy_log_9_coef,0.118195
tqwt_entropy_shannon_dec_13,0.117445
numPulses,0.116919
tqwt_TKEO_std_dec_17,0.116062
det_LT_entropy_shannon_6_coef,0.115853
tqwt_energy_dec_36,0.115155
tqwt_entropy_log_dec_36,0.114082
tqwt_minValue_dec_26,0.113770
tqwt_TKEO_std_dec_16,0.113550
tqwt_stdValue_dec_34,0.113156
app_entropy_log_4_coef,0.112840
meanPeriodPulses,0.112397
tqwt_meanValue_dec_20,0.112346
tqwt_energy_dec_25,0.110049
tqwt_skewnessValue_dec_3,0.109475
tqwt_stdValue_dec_3,0.107953
tqwt_TKEO_mean_dec_17,0.106671
tqwt_meanValue_dec_21,0.106581
app_LT_TKEO_std_2_coef,0.106194
tqwt_skewnessValue_dec_4,0.105931
tqwt_energy_dec_7,0.105760
tqwt_stdValue_dec_12,0.105741
det_LT_entropy_shannon_8_coef,0.105356
tqwt_stdValue_dec_31,0.105155
app_det_TKEO_mean_3_coef,0.105087
tqwt_TKEO_std_dec_18,0.103446
tqwt_entropy_log_dec_8,0.103325
det_entropy_log_4_coef,0.103297
apq11Shimmer,0.102381
minIntensity,0.102031
tqwt_maxValue_dec_26,0.101279
tqwt_TKEO_mean_dec_8,0.100296
tqwt_entropy_shannon_dec_2,0.099699
tqwt_TKEO_std_dec_8,0.099577
tqwt_stdValue_dec_20,0.098781
tqwt_TKEO_std_dec_20,0.098479
tqwt_entropy_shannon_dec_8,0.098438
app_TKEO_std_3_coef,0.097991
tqwt_TKEO_std_dec_6,0.097201
tqwt_minValue_dec_12,0.097119
tqwt_minValue_dec_33,0.096647
tqwt_TKEO_std_dec_33,0.096642
tqwt_maxValue_dec_12,0.096584
meanIntensity,0.096580
tqwt_entropy_log_dec_9,0.096261
tqwt_TKEO_std_dec_14,0.096040
tqwt_energy_dec_16,0.095981
tqwt_TKEO_mean_dec_12,0.095518
tqwt_TKEO_mean_dec_26,0.095429
tqwt_entropy_log_dec_18,0.094394
maxIntensity,0.094381
tqwt_entropy_shannon_dec_11,0.093989
tqwt_minValue_dec_34,0.093854
tqwt_TKEO_std_dec_7,0.093694
tqwt_entropy_shannon_dec_10,0.093340
tqwt_entropy_log_dec_35,0.093088
tqwt_entropy_shannon_dec_34,0.092340
VFER_std,0.092194
det_entropy_log_1_coef,0.091585
std_MFCC_11th_coef,0.091327
tqwt_medianValue_dec_14,0.090907
tqwt_TKEO_mean_dec_7,0.090684
f2,0.090661
GQ_prc5_95,0.090378
tqwt_stdValue_dec_9,0.090173
mean_9th_delta,0.090110
tqwt_TKEO_mean_dec_31,0.090100
tqwt_skewnessValue_dec_19,0.089957
tqwt_energy_dec_9,0.089873
tqwt_medianValue_dec_16,0.089791
mean_MFCC_2nd_coef,0.089787
mean_8th_delta_delta,0.089771
tqwt_energy_dec_10,0.089763
tqwt_stdValue_dec_19,0.089699
tqwt_entropy_shannon_dec_7,0.089497
det_LT_TKEO_std_7_coef,0.089250
tqwt_maxValue_dec_19,0.088592
tqwt_entropy_log_dec_7,0.088327
tqwt_maxValue_dec_32,0.088000
app_LT_TKEO_mean_3_coef,0.087462
tqwt_entropy_log_dec_11,0.087291
tqwt_maxValue_dec_34,0.087047
tqwt_entropy_log_dec_27,0.086677
tqwt_minValue_dec_31,0.086631
tqwt_minValue_dec_19,0.086420
tqwt_energy_dec_34,0.086380
tqwt_minValue_dec_32,0.085711
tqwt_TKEO_mean_dec_32,0.084815
tqwt_TKEO_mean_dec_19,0.084790
tqwt_stdValue_dec_35,0.084254
tqwt_TKEO_mean_dec_33,0.084158
det_TKEO_mean_6_coef,0.084081
