Feature_Name,FSASL_Importance_Value
app_entropy_shannon_10_coef,0.8174910144465406
app_LT_entropy_shannon_8_coef,0.8169226884013889
app_entropy_shannon_9_coef,0.8165123216032262
app_LT_entropy_shannon_9_coef,0.8164603587905868
app_LT_entropy_shannon_10_coef,0.8161084972542159
app_entropy_shannon_8_coef,0.8154827598934817
det_TKEO_mean_10_coef,0.0007479895996058731
det_TKEO_std_10_coef,0.0002564280654337879
det_entropy_shannon_10_coef,0.0001241784594896534
det_LT_TKEO_std_10_coef,0.00010047441231361618
det_LT_TKEO_mean_10_coef,8.518076142765927e-05
Ed2_10_coef,4.167823221765178e-05
Ed_10_coef,3.2288421370534635e-05
det_LT_entropy_shannon_10_coef,2.1416590113044306e-05
det_TKEO_mean_9_coef,1.9774000785543e-05
det_entropy_shannon_8_coef,1.660255454618698e-05
det_TKEO_std_8_coef,1.473197132554614e-05
det_TKEO_std_9_coef,1.2489297862668546e-05
det_LT_TKEO_mean_9_coef,1.0977621957167175e-05
tqwt_energy_dec_10,1.068597303002889e-05
det_entropy_shannon_9_coef,1.0340312239626162e-05
det_LT_TKEO_std_9_coef,5.976600951658601e-06
Ed2_9_coef,4.1088886539485464e-06
Ea2,1.5271135426592108e-06
det_TKEO_mean_8_coef,1.231334821369527e-06
det_LT_entropy_shannon_9_coef,1.0747721985214553e-06
Ed_8_coef,9.528711954914286e-07
Ea,4.933430127717446e-07
det_TKEO_mean_4_coef,4.718119497167056e-07
Ed_9_coef,3.750332093371218e-07
tqwt_energy_dec_9,3.6525525946838517e-07
det_entropy_shannon_4_coef,1.4844888118444566e-07
det_TKEO_std_4_coef,1.2413187959510356e-07
det_LT_TKEO_std_8_coef,9.535806805240477e-08
det_TKEO_mean_3_coef,6.396549733928869e-08
Ed2_8_coef,5.202919133634776e-08
det_entropy_shannon_3_coef,4.8878344753225875e-08
det_LT_entropy_shannon_3_coef,4.53981686500215e-08
tqwt_energy_dec_11,4.534690034328735e-08
det_LT_entropy_shannon_8_coef,3.7291672111738616e-08
