Feature_Name,Combined_Score
app_LT_entropy_shannon_10_coef,0.377434
app_LT_entropy_shannon_9_coef,0.376965
app_entropy_shannon_10_coef,0.376958
app_LT_entropy_shannon_8_coef,0.376492
app_entropy_shannon_9_coef,0.37613
app_entropy_shannon_8_coef,0.374843
tqwt_entropy_shannon_dec_32,0.285385
app_entropy_shannon_4_coef,0.268562
app_det_TKEO_mean_9_coef,0.26745
app_det_TKEO_mean_10_coef,0.263994
app_entropy_shannon_6_coef,0.254789
tqwt_stdValue_dec_8,0.248049
tqwt_entropy_shannon_dec_16,0.247687
tqwt_entropy_log_dec_12,0.244718
app_entropy_log_5_coef,0.233245
tqwt_minValue_dec_18,0.231986
app_TKEO_std_8_coef,0.22921
tqwt_TKEO_std_dec_4,0.21146
tqwt_stdValue_dec_33,0.208625
det_LT_entropy_shannon_7_coef,0.200961
tqwt_entropy_log_dec_13,0.200827
tqwt_minValue_dec_24,0.200581
det_TKEO_std_7_coef,0.196637
app_LT_TKEO_std_8_coef,0.194273
tqwt_entropy_shannon_dec_17,0.193367
