Feature_Name,FSASL_Importance_Value
app_entropy_shannon_10_coef,0.8174910919863729
app_LT_entropy_shannon_8_coef,0.8169227154963766
app_entropy_shannon_9_coef,0.8165122810331001
app_LT_entropy_shannon_9_coef,0.816460381675052
app_LT_entropy_shannon_10_coef,0.8161084476015447
app_entropy_shannon_8_coef,0.8154827225288567
det_TKEO_mean_10_coef,0.0007463026898810643
det_TKEO_std_10_coef,0.00026250941336087766
det_entropy_shannon_10_coef,0.00012021855721520371
det_LT_TKEO_std_10_coef,0.00010205374297578072
det_LT_TKEO_mean_10_coef,8.484101772945293e-05
Ed2_10_coef,4.110749144936132e-05
Ed_10_coef,3.184566803440416e-05
det_LT_entropy_shannon_10_coef,2.0846584648703677e-05
det_TKEO_mean_9_coef,1.996051329487367e-05
det_entropy_shannon_8_coef,1.6290740466198344e-05
det_TKEO_std_8_coef,1.4608640638998461e-05
det_TKEO_std_9_coef,1.2279116921101817e-05
det_LT_TKEO_mean_9_coef,1.0945206964934537e-05
det_entropy_shannon_9_coef,1.0746577259567123e-05
tqwt_energy_dec_10,1.0534555622349028e-05
det_LT_TKEO_std_9_coef,5.98490738067967e-06
Ed2_9_coef,4.1108116786070676e-06
Ea2,1.4804946546792776e-06
det_TKEO_mean_8_coef,1.1745229418767605e-06
det_LT_entropy_shannon_9_coef,1.1167443020305574e-06
Ed_8_coef,9.553365134734677e-07
Ea,4.92560775843891e-07
det_TKEO_mean_4_coef,4.751373672407932e-07
Ed_9_coef,3.7258579844719034e-07
tqwt_energy_dec_9,3.5659656322967243e-07
det_entropy_shannon_4_coef,1.4555772660619816e-07
det_TKEO_std_4_coef,1.2312501970500204e-07
det_LT_TKEO_std_8_coef,9.503064703787425e-08
det_TKEO_mean_3_coef,6.462098460317331e-08
Ed2_8_coef,5.162273083248317e-08
det_entropy_shannon_3_coef,4.83967300640686e-08
tqwt_energy_dec_11,4.557265437185708e-08
det_LT_entropy_shannon_3_coef,4.55245627049218e-08
Ed_7_coef,3.699651914084982e-08
det_LT_entropy_shannon_8_coef,3.623987343139273e-08
det_TKEO_std_7_coef,1.9389944000384277e-08
Ed_3_coef,1.8488734748754555e-08
det_LT_TKEO_mean_8_coef,1.609455721251536e-08
Ed2_3_coef,1.6065934579162783e-08
det_TKEO_mean_7_coef,1.2329256878866927e-08
det_entropy_shannon_7_coef,8.80753012217485e-09
Ed_2_coef,4.599466378422273e-09
det_LT_entropy_shannon_4_coef,4.555075705611979e-09
Ed2_7_coef,4.287380972840039e-09
det_LT_TKEO_mean_3_coef,3.8075540123979395e-09
det_TKEO_std_3_coef,3.398800939317939e-09
det_entropy_log_1_coef,2.9769776381202507e-09
Ed_6_coef,2.025409701453779e-09
tqwt_energy_dec_33,1.482462772121667e-09
Ed_1_coef,1.2932329375126244e-09
det_LT_TKEO_mean_7_coef,1.0250910670425247e-09
det_LT_entropy_log_1_coef,9.128499845037832e-10
det_LT_entropy_shannon_6_coef,6.956907568659145e-10
Ed_5_coef,5.817962782171108e-10
det_LT_entropy_shannon_2_coef,5.29048888062739e-10
det_entropy_shannon_1_coef,5.271267124136521e-10
tqwt_energy_dec_1,4.721072682628062e-10
tqwt_energy_dec_35,4.669564023430132e-10
det_TKEO_std_2_coef,3.5176481674113255e-10
det_LT_TKEO_std_7_coef,3.5082676302524156e-10
det_entropy_shannon_2_coef,3.1481371543421505e-10
det_TKEO_mean_1_coef,3.105463500226267e-10
Ed_4_coef,2.851297783774794e-10
det_TKEO_std_1_coef,2.7702055994069767e-10
app_det_TKEO_mean_1_coef,2.5211392281869844e-10
