Feature_Name,UMCFS_Importance_Value
tqwt_entropy_shannon_dec_32,19145719260124.67
tqwt_entropy_shannon_dec_33,17636895133188.234
tqwt_stdValue_dec_32,7532557838713.476
tqwt_stdValue_dec_33,7110469611238.067
tqwt_stdValue_dec_31,3127664924436.598
tqwt_entropy_shannon_dec_34,2825701245824.4644
tqwt_stdValue_dec_34,2690689425508.0933
tqwt_TKEO_std_dec_33,2199532745110.203
tqwt_energy_dec_34,2196056730250.0679
tqwt_energy_dec_35,1846280923791.8015
tqwt_TKEO_mean_dec_31,1581793026742.967
tqwt_entropy_shannon_dec_31,1277380586600.7788
app_entropy_log_6_coef,1188039674505.6973
Ed_2_coef,1173628632398.7893
Ed2_1_coef,1045046612020.4738
tqwt_energy_dec_32,981506246123.801
tqwt_minValue_dec_25,977486374456.1792
app_LT_entropy_log_6_coef,962460535922.0312
tqwt_maxValue_dec_25,874868829627.0181
tqwt_maxValue_dec_33,838683491928.6957
Ed_9_coef,822887070287.5615
tqwt_stdValue_dec_18,780251347290.1708
tqwt_TKEO_std_dec_31,737079447041.3671
det_TKEO_mean_8_coef,697552626786.6171
det_entropy_log_7_coef,653248978237.5161
det_LT_entropy_log_7_coef,649016991844.6323
Ed2_9_coef,639330740401.7974
Ed2_7_coef,600222797572.599
det_TKEO_mean_3_coef,557058867086.7773
Ed_7_coef,557013031680.6713
tqwt_entropy_shannon_dec_35,530091682154.4747
tqwt_energy_dec_33,466217230450.9907
det_LT_TKEO_mean_3_coef,463032743002.56915
tqwt_stdValue_dec_19,457755697359.10333
meanNoiseToHarmHarmonicity,452432646699.53253
tqwt_TKEO_std_dec_34,446601847638.51733
tqwt_TKEO_std_dec_30,439445237469.0305
meanAutoCorrHarmonicity,431867796094.0127
det_LT_TKEO_std_8_coef,428840704943.66754
app_LT_TKEO_std_6_coef,405183930514.84906
tqwt_maxValue_dec_32,403239042810.8228
Ed_6_coef,376694858240.40985
tqwt_entropy_log_dec_32,374480817680.23126
det_LT_TKEO_std_1_coef,368481531692.53644
tqwt_entropy_shannon_dec_30,366305916746.7445
tqwt_minValue_dec_21,348263568494.6876
Ed2_3_coef,347936667889.3171
tqwt_minValue_dec_30,345277239258.9331
tqwt_energy_dec_31,345059923931.1717
tqwt_TKEO_mean_dec_18,342564548999.10175
tqwt_maxValue_dec_21,337531758542.7236
tqwt_minValue_dec_33,319918418563.24414
app_entropy_shannon_1_coef,312375928510.39386
tqwt_maxValue_dec_35,292339570109.17004
det_LT_entropy_shannon_1_coef,287179145442.9736
numPulses,285304115467.1649
tqwt_stdValue_dec_26,282731480789.1152
det_TKEO_mean_4_coef,281530027584.6598
det_LT_entropy_shannon_9_coef,278984939008.1982
tqwt_stdValue_dec_21,271448122299.49686
tqwt_maxValue_dec_30,262675180367.16592
tqwt_minValue_dec_10,262531230784.8753
tqwt_TKEO_std_dec_10,261682454325.92322
tqwt_entropy_log_dec_31,252027835875.1852
tqwt_entropy_log_dec_28,251443330249.59296
tqwt_maxValue_dec_31,248002754540.55838
tqwt_minValue_dec_31,245554067003.01794
Ed2_10_coef,245520797712.61288
det_entropy_shannon_10_coef,244504432589.04453
tqwt_entropy_log_dec_18,240763436230.71704
tqwt_TKEO_mean_dec_35,233460008791.44858
tqwt_energy_dec_26,232533057578.46542
det_LT_TKEO_mean_4_coef,232271742984.7874
tqwt_TKEO_mean_dec_26,228501895580.17566
tqwt_entropy_log_dec_4,226273389620.5638
tqwt_maxValue_dec_10,224114916411.20224
tqwt_entropy_log_dec_2,221010519105.47797
tqwt_entropy_log_dec_35,218684866822.02005
tqwt_TKEO_std_dec_35,217394757010.75287
det_LT_entropy_shannon_6_coef,216700012384.46124
tqwt_entropy_log_dec_27,216371915837.42664
tqwt_TKEO_mean_dec_21,215001100821.12048
meanPeriodPulses,214176850269.17078
tqwt_entropy_log_dec_29,211481815625.63763
tqwt_TKEO_mean_dec_36,207801820318.86063
tqwt_TKEO_std_dec_4,206255238791.70084
app_LT_entropy_log_5_coef,205625322126.62097
tqwt_energy_dec_28,205168702032.5745
apq5Shimmer,201094542824.7825
tqwt_maxValue_dec_29,200495088630.2696
tqwt_entropy_shannon_dec_18,197012077471.04584
tqwt_entropy_log_dec_23,191681868864.43747
tqwt_energy_dec_14,184262865015.0336
tqwt_energy_dec_24,183152816104.71854
tqwt_TKEO_std_dec_11,182335599769.97733
tqwt_energy_dec_30,177723403168.4001
det_TKEO_std_9_coef,177223946804.76215
tqwt_entropy_log_dec_7,176913074354.882
det_entropy_shannon_7_coef,175682111624.8592
tqwt_minValue_dec_15,175446355644.63208
tqwt_entropy_shannon_dec_28,174495572345.37494
app_det_TKEO_mean_2_coef,174468954219.52185
tqwt_energy_dec_19,172478166589.4289
tqwt_TKEO_mean_dec_14,169603195739.18036
tqwt_energy_dec_16,167413936849.54266
std_2nd_delta,165534072417.2283
tqwt_entropy_shannon_dec_27,161320315095.89774
app_LT_TKEO_std_1_coef,158422711485.55252
tqwt_entropy_shannon_dec_21,151223694486.70013
tqwt_energy_dec_7,150651050761.31247
